Model,Train_Acc,Test_Acc,Train_F1,Test_F1,CV_Mean,CV_Std,Overfit_Gap
Random Forest,1.0,1.0,1.0,1.0,0.96,0.04898979485566354,0.0
XGBoost,1.0,1.0,1.0,1.0,0.9399999999999998,0.04898979485566355,0.0
